,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,281.58,89,75,5.66,CA,1697679176
1,frenda,35.0654,1.0495,289.55,77,39,1.7,DZ,1697679696
2,qaqortoq,60.7167,-46.0333,271.76,58,52,2.12,GL,1697679199
3,papatowai,-46.5619,169.4708,290.03,49,77,6.34,NZ,1697679171
4,hermanus,-34.4187,19.2345,289.33,85,37,7.9,ZA,1697679169
5,iqaluit,63.7506,-68.5145,272.0,92,100,4.12,CA,1697679162
6,port-aux-francais,-49.35,70.2167,274.47,78,95,10.33,TF,1697679164
7,yellowknife,62.456,-114.3525,280.05,100,100,4.12,CA,1697678982
8,touba,8.2833,-7.6833,294.84,96,100,0.64,CI,1697679697
9,albany,42.6001,-73.9662,284.39,89,79,0.97,US,1697679524
10,adamstown,-25.066,-130.1015,295.82,75,17,0.5,PN,1697679164
11,sakakah,29.9697,40.2064,292.91,36,0,1.93,SA,1697679698
12,san ignacio de velasco,-16.3667,-60.95,300.3,49,42,0.69,BO,1697679698
13,guiratinga,-16.3494,-53.7583,301.84,31,5,2.41,BR,1697679698
14,new plymouth,-39.0667,174.0833,293.04,84,6,3.13,NZ,1697679698
15,grytviken,-54.2811,-36.5092,276.5,70,100,4.19,GS,1697679164
16,waiuku,-37.25,174.75,295.51,61,0,2.43,NZ,1697679698
17,karachi,24.9056,67.0822,299.05,65,0,2.06,PK,1697679698
18,waitangi,-43.9535,-176.5597,285.83,80,99,4.02,NZ,1697679168
19,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,88,0,7.0,RU,1697679036
20,talnakh,69.4865,88.3972,277.71,99,100,5.54,RU,1697679174
21,abepura,-2.6333,140.5833,305.6,52,20,2.57,ID,1697679699
22,tiksi,71.6872,128.8694,267.45,97,100,2.89,RU,1697679172
23,bethel,41.3712,-73.414,287.35,81,100,2.06,US,1697679163
24,longyearbyen,78.2186,15.6401,276.06,81,75,11.32,SJ,1697679166
25,olonkinbyen,70.9221,-8.7187,276.82,88,100,10.21,SJ,1697679163
26,jamestown,42.097,-79.2353,283.92,74,100,2.57,US,1697678898
27,lompoc,34.6391,-120.4579,299.23,94,0,2.06,US,1697679174
28,susuman,62.7833,148.1667,259.81,76,100,0.45,RU,1697679177
29,blackmans bay,-43.0167,147.3167,294.0,54,100,0.45,AU,1697679175
30,college,64.8569,-147.8028,271.52,77,75,2.06,US,1697679172
31,coquimbo,-29.9533,-71.3436,287.0,76,0,2.06,CL,1697678944
32,new norfolk,-42.7826,147.0587,294.66,26,100,1.72,AU,1697679106
33,ust-nera,64.5667,143.2,260.49,77,100,0.45,RU,1697679167
34,haiku-pauwela,20.9219,-156.3051,301.16,61,40,9.77,US,1697679228
35,punta arenas,-53.15,-70.9167,285.21,58,0,7.2,CL,1697679024
36,hawaiian paradise park,19.5933,-154.9731,301.5,74,75,3.6,US,1697679175
37,westport,41.1415,-73.3579,288.19,83,75,3.6,US,1697679165
38,dunedin,-45.8742,170.5036,293.19,43,96,1.74,NZ,1697679701
39,nchelenge,-9.3451,28.734,294.71,80,99,2.7,ZM,1697679701
40,ushuaia,-54.8,-68.3,284.96,92,0,4.47,AR,1697679177
41,chonchi,-42.6128,-73.8092,282.71,95,59,1.42,CL,1697679206
42,kavieng,-2.5744,150.7967,301.67,70,82,1.21,PG,1697679221
43,port elizabeth,-33.918,25.5701,289.99,95,20,2.57,ZA,1697678893
44,novyy urgal,51.0736,132.5642,276.48,65,98,3.55,RU,1697679702
45,wailua homesteads,22.0669,-159.378,303.39,66,0,4.63,US,1697679162
46,tumayr,25.7039,45.868,296.69,19,0,4.56,SA,1697679702
47,chibougamau,49.9168,-74.3659,279.94,76,100,3.09,CA,1697679576
48,georgetown,5.4112,100.3354,301.11,87,20,2.68,MY,1697679128
49,belem,-1.4558,-48.5044,298.17,88,0,2.57,BR,1697679438
50,fomboni,-12.28,43.7425,299.36,81,69,3.57,KM,1697679702
51,mount pearl,47.5166,-52.7813,280.55,89,100,4.12,CA,1697679702
52,pisco,-13.7,-76.2167,292.18,88,100,6.17,PE,1697679195
53,mayqayyng,51.4625,75.7986,280.88,50,44,4.95,KZ,1697679703
54,rongelap,11.1635,166.8941,301.09,77,90,7.24,MH,1697679187
55,dudinka,69.4058,86.1778,277.94,99,100,7.6,RU,1697679185
56,mahdia,35.5047,11.0622,298.12,49,60,6.4,TN,1697679184
57,la romana,18.4273,-68.9728,299.35,94,20,0.0,DO,1697679703
58,songjiang,31.036,121.2146,297.13,56,0,1.21,CN,1697679703
59,waingapu,-9.6567,120.2641,304.47,50,8,5.47,ID,1697679704
60,iranshahr,27.2025,60.6848,297.4,56,1,1.08,IR,1697679704
61,margaret river,-33.95,115.0667,289.44,55,94,3.36,AU,1697679178
62,tamamura,36.3,139.1167,299.6,44,65,0.61,JP,1697679704
63,port lincoln,-34.7333,135.8667,298.08,34,87,0.8,AU,1697679158
64,ilulissat,69.2167,-51.1,264.16,73,75,2.06,GL,1697679214
65,afaahiti,-17.75,-149.2833,299.08,80,81,7.44,PF,1697679176
66,puerto natales,-51.7236,-72.4875,279.71,93,100,1.85,CL,1697679162
67,west island,-12.1568,96.8225,300.14,74,40,5.14,CC,1697679174
68,arraial do cabo,-22.9661,-42.0278,294.68,82,24,6.66,BR,1697679193
69,saint-francois,46.4154,3.9054,287.95,94,0,4.12,FR,1697679225
70,bardai,11.65,7.2333,296.89,31,84,3.13,NG,1697679705
71,bredasdorp,-34.5322,20.0403,288.27,93,4,5.61,ZA,1697679190
72,sitka,57.0531,-135.33,285.09,82,100,10.29,US,1697679163
73,bikenibeu village,1.3673,173.1241,300.13,89,100,11.32,KI,1697679179
74,vorgashor,67.5833,63.95,273.56,80,100,6.26,RU,1697679174
75,carnarvon,-24.8667,113.6333,300.68,44,100,7.43,AU,1697679177
76,ixtapa,20.7,-105.2,300.72,78,100,1.54,MX,1697679691
77,ajdabiya,30.7554,20.2263,295.66,33,6,3.4,LY,1697679706
78,port mathurin,-19.6833,63.4167,296.85,81,97,5.33,MU,1697679168
79,vung tau,10.346,107.0843,301.36,78,100,1.16,VN,1697679706
80,piranhas,-16.4269,-51.8222,303.16,32,67,2.54,BR,1697679706
81,isafjordur,66.0755,-23.124,280.21,77,100,4.17,IS,1697679171
82,butembo,0.15,29.2833,287.23,95,100,0.91,CD,1697679226
83,barrouallie,13.2333,-61.2667,300.14,78,91,3.67,VC,1697679706
84,puerto colombia,10.9878,-74.9547,303.2,76,18,7.13,CO,1697679707
85,lebu,-37.6167,-73.65,282.88,89,6,1.28,CL,1697679219
86,pokhvistnevo,53.6524,52.1274,280.5,58,93,5.37,RU,1697679707
87,udachny,66.4167,112.4,262.29,85,100,2.06,RU,1697679176
88,masterton,-40.9597,175.6575,290.31,36,9,1.98,NZ,1697679707
